Subject,Lambda,LR,EncDim,DecDim,Dropout,MSE
S003,0.1,0.001,64,32,0.2,0.033934316132217646
S003,0.1,0.001,64,32,0.3,0.04563075921032578
S003,0.1,0.001,64,32,0.4,0.036030850606039166
S003,0.1,0.001,64,64,0.2,0.04358383937506005
S003,0.1,0.001,64,64,0.3,0.041077716974541545
S003,0.1,0.001,64,64,0.4,0.037485851207748055
S003,0.1,0.001,64,128,0.2,0.04182870325166732
S003,0.1,0.001,64,128,0.3,0.03336030361242592
S003,0.1,0.001,64,128,0.4,0.04079433926381171
S003,0.1,0.001,128,32,0.2,0.035305789788253605
S003,0.1,0.001,128,32,0.3,0.04041140468325466
S003,0.1,0.001,128,32,0.4,0.03723188303411007
S003,0.1,0.001,128,64,0.2,0.03731090237852186
S003,0.1,0.001,128,64,0.3,0.04449491994455457
S003,0.1,0.001,128,64,0.4,0.03390092775225639
S003,0.1,0.001,128,128,0.2,0.041937473288271576
S003,0.1,0.001,128,128,0.3,0.035225520958192647
S003,0.1,0.001,128,128,0.4,0.04470045934431255
S003,0.1,0.001,256,32,0.2,0.036358202050905675
S003,0.1,0.001,256,32,0.3,0.040666331769898534
S003,0.1,0.001,256,32,0.4,0.032869480608496815
S003,0.1,0.001,256,64,0.2,0.03694095753598958
S003,0.1,0.001,256,64,0.3,0.039728089643176645
S003,0.1,0.001,256,64,0.4,0.03792051342315972
S003,0.1,0.001,256,128,0.2,0.040226603916380554
S003,0.1,0.001,256,128,0.3,0.041029693791642785
S003,0.1,0.001,256,128,0.4,0.044765861704945564
S003,0.1,0.0001,64,32,0.2,0.034706088015809655
S003,0.1,0.0001,64,32,0.3,0.033234998176340014
S003,0.5,0.001,64,64,0.2,0.043193107238039374
S003,0.5,0.001,64,32,0.3,0.03583964833524078
S003,0.5,0.001,64,64,0.3,0.03716132772387937
S003,0.5,0.001,64,32,0.2,0.04448395036160946
S003,0.5,0.001,64,128,0.2,0.03593511926010251
S003,0.5,0.001,128,32,0.3,0.03659311670344323
S003,0.5,0.001,64,128,0.3,0.03712240746244788
S003,0.5,0.001,128,32,0.2,0.04541656607761979
S003,0.5,0.001,128,64,0.2,0.039285218925215304
S003,0.5,0.001,128,128,0.3,0.04272815230069682
S003,0.5,0.001,128,64,0.3,0.04298425349406898
S003,0.5,0.001,128,128,0.2,0.0394748201360926
S003,0.5,0.001,256,64,0.3,0.03235953411785886
S003,0.5,0.001,256,32,0.2,0.04505625111050904
S003,0.5,0.001,256,32,0.3,0.04069304605945945
S003,0.5,0.001,256,64,0.2,0.06300137541256845
S003,0.5,0.001,256,128,0.3,0.04081707843579352
S003,0.5,0.001,256,128,0.2,0.04791317996568978
S003,0.5,0.0001,64,32,0.3,0.03015149210114032
S003,0.5,0.0001,64,64,0.2,0.029017325141467154
S003,0.5,0.0001,64,64,0.3,0.029657107195816934
S003,0.5,0.0001,64,32,0.2,0.033604588359594345
S003,0.5,0.0001,64,128,0.2,0.02931152150267735
S003,0.5,0.0001,128,32,0.2,0.027908570831641555
S003,0.5,0.0001,128,64,0.2,0.02718218811787665
S003,0.5,0.0001,64,128,0.3,0.023214932181872427
S003,0.5,0.0001,128,32,0.3,0.030896711512468755
S003,0.5,0.0001,128,64,0.3,0.026235115597955883
S003,0.5,0.0001,128,128,0.2,0.023460397613234818
S003,0.5,0.0001,128,128,0.3,0.028173515805974603
S003,0.5,0.0001,256,32,0.2,0.02556266263127327
S003,0.5,0.0001,256,64,0.2,0.030435050488449633
S003,0.5,0.0001,256,32,0.3,0.02841526916017756
S003,0.5,0.0001,256,64,0.3,0.027049603930208832
S003,0.5,0.0001,256,128,0.2,0.0263384731952101
S003,1.0,0.001,64,32,0.2,0.03589608345646411
S003,1.0,0.001,64,64,0.2,0.029211420682258904
S003,1.0,0.001,64,128,0.2,0.03482056164648384
S003,0.5,0.0001,256,128,0.3,0.028535465127788484
S003,1.0,0.001,64,64,0.3,0.03593601053580642
S003,1.0,0.001,64,128,0.3,0.03747835720423609
S003,1.0,0.001,64,32,0.3,0.036048622569069266
S003,1.0,0.001,128,32,0.2,0.041046386351808906
S003,1.0,0.001,128,32,0.3,0.04238387104123831
S003,1.0,0.001,128,64,0.2,0.03818739461712539
S003,1.0,0.001,128,64,0.3,0.049048758344724774
S003,1.0,0.001,128,128,0.2,0.03415738558396697
S003,1.0,0.001,128,128,0.3,0.030329897650517523
S003,1.0,0.001,256,32,0.2,0.04898163001053035
S003,1.0,0.001,256,64,0.2,0.043212757096625865
S003,1.0,0.001,256,64,0.3,0.046729656169191
S003,1.0,0.001,256,32,0.3,0.033400274347513914
S003,1.0,0.001,256,128,0.2,0.03303522663190961
S003,1.0,0.0001,64,32,0.3,0.03406986594200134
S003,1.0,0.001,256,128,0.3,0.047393669839948416
S003,1.0,0.0001,64,64,0.2,0.02702744142152369
S003,1.0,0.0001,64,128,0.3,0.029552143067121506
S003,1.0,0.0001,64,128,0.2,0.03119969309773296
S003,1.0,0.0001,64,64,0.3,0.03315773094072938
S003,1.0,0.0001,64,32,0.2,0.03591199324000627
S003,1.0,0.0001,128,64,0.3,0.03138850687537342
S003,1.0,0.0001,128,32,0.2,0.03390071843750775
S003,1.0,0.0001,128,32,0.3,0.029210145585238934
S003,1.0,0.0001,128,64,0.2,0.028843572130426764
S003,1.0,0.0001,128,128,0.3,0.02824423072161153
S003,1.0,0.0001,128,128,0.2,0.02523411944275722
S003,1.0,0.0001,256,32,0.2,0.02478040591813624
S003,1.0,0.0001,256,64,0.2,0.02542754844762385
S003,1.0,0.0001,256,32,0.3,0.03199932095594704
S003,1.0,0.0001,256,64,0.3,0.03193286806344986
S003,1.0,0.0001,256,128,0.2,0.02720602019689977
S003,1.5,0.001,64,32,0.2,0.04109693318605423
S003,1.5,0.001,64,64,0.3,0.03758473496418446
S003,1.0,0.0001,256,128,0.3,0.025598470005206764
S003,1.5,0.001,64,32,0.3,0.03813122387509793
S003,1.5,0.001,64,64,0.2,0.03901550825685263
S003,1.5,0.001,64,128,0.3,0.03152894810773432
S003,1.5,0.001,64,128,0.2,0.048370069707743824
S003,1.5,0.001,128,32,0.2,0.04547261516563594
S003,1.5,0.001,128,64,0.2,0.03754466352984309
S003,1.5,0.001,128,64,0.3,0.043469812953844666
S003,1.5,0.001,128,128,0.2,0.038880320149473846
S003,1.5,0.001,128,32,0.3,0.04313815920613706
S003,1.5,0.001,256,32,0.3,0.05207750620320439
S003,1.5,0.001,256,32,0.2,0.04601740138605237
S003,1.5,0.001,128,128,0.3,0.048492379719391465
S003,1.5,0.001,256,64,0.2,0.036485217744484544
S003,1.5,0.001,256,128,0.2,0.042879272950813174
S003,1.5,0.001,256,64,0.3,0.040448376908898354
S003,1.5,0.001,256,128,0.3,0.046793869347311556
S003,1.5,0.0001,64,32,0.3,0.044091873336583376
S003,1.5,0.0001,64,64,0.3,0.036494079511612654
S003,1.5,0.0001,64,32,0.2,0.03768350218888372
