Subject,Lambda,LR,EncDim,DecDim,Dropout,MSE
S003,2.0,0.0001,64,64,0.3,0.021546832052990794
S003,10.0,0.3,0.0001,64,32,0.3,0.4996180422604084
S003,10.0,0.5,0.0001,64,32,0.3,0.5003666914999485
S003,1.0,0.3,0.0001,64,32,0.3,0.022005668724887073
S003,1.0,0.3,0.0001,64,32,0.3,0.02741682078663467
S003,1.0,0.3,0.0001,64,32,0.3,0.021847001218702644
S003,1.0,0.3,0.0001,64,32,0.3,0.02878711581514734
S003,SDA,0.5,0.3,0.0001,64,128,0.3,0.02616428618784994
S003,SDA,0.5,0.3,0.0001,128,32,0.3,0.027557335677556694
S003,SDA,0.5,0.3,0.0001,64,64,0.3,0.02556233777431771
S003,SDA,0.5,0.3,0.0001,64,32,0.3,0.02572251029778272
S003,SDA,0.5,0.3,0.0001,128,128,0.3,0.02842099772533402
S003,SDA,0.5,0.3,0.0001,128,64,0.3,0.03419103485066444
S003,SDA,0.5,0.3,0.0001,256,64,0.3,0.036868682014755905
S003,SDA,0.5,0.3,0.0001,256,32,0.3,0.03676541370805353
S003,SDA,0.5,0.5,0.0001,64,32,0.3,0.029036504682153463
S003,SDA,0.5,0.5,0.0001,64,64,0.3,0.027584052411839366
S003,SDA,0.5,0.5,0.0001,64,128,0.3,0.021552135120145977
S003,SDA,0.5,0.5,0.0001,128,32,0.3,0.032423299679066986
S003,SDA,0.5,0.3,0.0001,256,128,0.3,0.37513812631368637
S003,SDA,0.5,0.5,0.0001,128,64,0.3,0.03586620470741764
S003,SDA,0.5,0.5,0.0001,128,128,0.3,0.033177383011206985
S003,SDA,1.0,0.3,0.0001,64,32,0.3,0.02878711581514734
S003,SO,1.0,0.3,0.0001,64,32,0.3,0.597218042288823
S003,TO,1.0,0.3,0.0001,64,32,0.3,0.03458382971289139
S003,TL,1.0,0.3,0.0001,64,32,0.3,0.11001912109238447
S003,SDA,0.5,0.5,0.0001,256,32,0.3,0.04025617614388466
S003,SDA,0.5,0.5,0.0001,256,128,0.3,0.035889387188944966
S003,SDA,0.5,0.5,0.0001,256,64,0.3,0.04084732546471059
