Subject,Mode,LambdaMMD,LambdaSrc,LR,EncDim,DecDim,Dropout,MSE
S003,SDA,0.5,0.3,0.0001,64,64,0.3,0.027594685438089073
S003,SDA,0.5,0.3,0.0001,128,32,0.3,0.03190015908330679
S003,SDA,0.5,0.3,0.0001,64,128,0.3,0.02327519847312942
S003,SDA,0.5,0.3,0.0001,64,32,0.3,0.027247614809311926
S003,SDA,0.5,0.3,0.0001,128,64,0.3,0.03995696658967063
S003,SDA,0.5,0.3,0.0001,128,128,0.3,0.02846708695869893
S003,SDA,0.5,0.3,0.0001,256,32,0.3,0.032758569926954806
S003,SDA,0.5,0.3,0.0001,256,64,0.3,0.033541438286192715
S003,SDA,0.5,0.5,0.0001,64,128,0.3,0.02108560485066846
S003,SDA,0.5,0.3,0.0001,256,128,0.3,0.03222628135699779
S003,SDA,0.5,0.5,0.0001,64,64,0.3,0.025116232223808765
S003,SDA,0.5,0.5,0.0001,64,32,0.3,0.030168136639986187
S003,SDA,0.5,0.5,0.0001,128,32,0.3,0.029377567232586443
S003,SDA,0.5,0.5,0.0001,128,128,0.3,0.03298970661126077
S003,SDA,0.5,0.5,0.0001,128,64,0.3,0.03530832706019282
S003,SDA,0.5,0.5,0.0001,256,32,0.3,0.038304511457681656
S003,SDA,0.5,0.5,0.0001,256,64,0.3,0.03858443070203066
S003,SDA,0.5,0.5,0.0001,256,128,0.3,0.04015450517181307
S003,SDA,1.0,0.3,0.0001,64,64,0.3,0.022731074830517173
S003,SDA,1.0,0.3,0.0001,64,32,0.3,0.020076763234101236
S003,SDA,1.0,0.3,0.0001,128,32,0.3,0.022793548414483666
S003,SDA,1.0,0.3,0.0001,128,128,0.3,0.022101168637163937
S003,SDA,1.0,0.3,0.0001,128,64,0.3,0.021522281225770712
S003,SDA,1.0,0.3,0.0001,64,128,0.3,0.024172008270397782
S003,SDA,1.0,0.3,0.0001,256,32,0.3,0.023556720290798694
S003,SDA,1.0,0.3,0.0001,256,64,0.3,0.029443050269037485
S003,SDA,1.0,0.3,0.0001,256,128,0.3,0.02784926729509607
S003,SDA,1.0,0.5,0.0001,64,32,0.3,0.021606226393487304
S003,SDA,1.0,0.5,0.0001,64,64,0.3,0.025592612102627754
S003,SDA,1.0,0.5,0.0001,128,32,0.3,0.027358466642908752
S003,SDA,1.0,0.5,0.0001,128,128,0.3,0.021421379526145756
S003,SDA,1.0,0.5,0.0001,64,128,0.3,0.020582100958563387
S003,SDA,1.0,0.5,0.0001,256,32,0.3,0.021837523905560374
S003,SDA,1.0,0.5,0.0001,128,64,0.3,0.031738751102238894
S003,SDA,1.5,0.3,0.0001,64,32,0.3,0.021783532691188157
S003,SDA,1.0,0.5,0.0001,256,64,0.3,0.03350931324530393
S003,SDA,1.5,0.3,0.0001,64,64,0.3,0.020997046143747866
S003,SDA,1.0,0.5,0.0001,256,128,0.3,0.029247050872072577
S003,SDA,1.5,0.3,0.0001,128,64,0.3,0.02181779104284942
S003,SDA,1.5,0.3,0.0001,64,128,0.3,0.02329382859170437
S003,SDA,1.5,0.3,0.0001,128,32,0.3,0.021981936355587095
S003,SDA,1.5,0.3,0.0001,128,128,0.3,0.021711258974391967
S003,SDA,1.5,0.3,0.0001,256,32,0.3,0.025435780291445553
S003,SDA,1.5,0.3,0.0001,256,64,0.3,0.02349854540079832
S003,SDA,1.5,0.5,0.0001,64,32,0.3,0.0226186498766765
S003,SDA,1.5,0.5,0.0001,64,64,0.3,0.02473417390137911
S003,SDA,1.5,0.5,0.0001,128,64,0.3,0.02391357149463147
S003,SDA,1.5,0.5,0.0001,64,128,0.3,0.020898649701848626
S003,SDA,1.5,0.3,0.0001,256,128,0.3,0.03022303432226181
S003,SDA,1.5,0.5,0.0001,128,32,0.3,0.024121871101669967
S003,SDA,1.5,0.5,0.0001,128,128,0.3,0.021449617168400437
S003,SDA,2.0,0.3,0.0001,64,32,0.3,0.025509091559797525
S003,SDA,1.5,0.5,0.0001,256,64,0.3,0.0257286939304322
S003,SDA,1.5,0.5,0.0001,256,32,0.3,0.029368906747549772
S003,SDA,1.5,0.5,0.0001,256,128,0.3,0.024393317056819797
S003,SDA,2.0,0.3,0.0001,128,32,0.3,0.027201047632843256
S003,SDA,2.0,0.3,0.0001,64,128,0.3,0.020111493475269526
S003,SDA,2.0,0.3,0.0001,128,64,0.3,0.021757186856120825
S003,SDA,2.0,0.3,0.0001,64,64,0.3,0.024414605111815035
S003,SDA,2.0,0.3,0.0001,256,64,0.3,0.024796217563562095
S003,SDA,2.0,0.3,0.0001,128,128,0.3,0.02882297069299966
S003,SDA,2.0,0.3,0.0001,256,128,0.3,0.023593480116687715
S003,SDA,2.0,0.3,0.0001,256,32,0.3,0.02288907580077648
S003,SDA,2.0,0.5,0.0001,64,32,0.3,0.023734706570394337
S003,SDA,2.0,0.5,0.0001,128,32,0.3,0.01972281199414283
S003,SDA,2.0,0.5,0.0001,64,128,0.3,0.021439359174109995
S003,SDA,2.0,0.5,0.0001,64,64,0.3,0.023575167288072407
S003,SDA,2.0,0.5,0.0001,128,64,0.3,0.02141803817357868
S003,SDA,2.0,0.5,0.0001,128,128,0.3,0.02219882473582402
S003,SDA,2.0,0.5,0.0001,256,64,0.3,0.0220406957087107
S003,SDA,2.0,0.5,0.0001,256,32,0.3,0.019572913297452033
S004,SDA,0.5,0.3,0.0001,64,32,0.3,0.14084235671907663
S003,SDA,2.0,0.5,0.0001,256,128,0.3,0.023078874219208956
S004,SDA,0.5,0.3,0.0001,128,32,0.3,0.20455053076148033
S004,SDA,0.5,0.3,0.0001,128,64,0.3,0.1581636480987072
S004,SDA,0.5,0.3,0.0001,64,64,0.3,0.15987263433635235
S004,SDA,0.5,0.3,0.0001,64,128,0.3,0.17794585041701794
S004,SDA,0.5,0.3,0.0001,128,128,0.3,0.1427836213260889
S004,SDA,0.5,0.3,0.0001,256,32,0.3,0.14139365032315254
S004,SDA,0.5,0.3,0.0001,256,64,0.3,0.18732638284564018
S004,SDA,0.5,0.5,0.0001,64,64,0.3,0.1482800729572773
S004,SDA,0.5,0.3,0.0001,256,128,0.3,0.15288064070045948
S004,SDA,0.5,0.5,0.0001,128,32,0.3,0.13075746968388557
S004,SDA,0.5,0.5,0.0001,64,32,0.3,0.2063925862312317
S004,SDA,0.5,0.5,0.0001,64,128,0.3,0.16109606996178627
S004,SDA,0.5,0.5,0.0001,128,64,0.3,0.13622993789613247
S004,SDA,0.5,0.5,0.0001,256,64,0.3,0.13419674523174763
S004,SDA,0.5,0.5,0.0001,128,128,0.3,0.13775601238012314
S004,SDA,0.5,0.5,0.0001,256,128,0.3,0.14481219463050365
S004,SDA,0.5,0.5,0.0001,256,32,0.3,0.1547601716592908
S004,SDA,1.0,0.3,0.0001,64,32,0.3,0.1699113231152296
S004,SDA,1.0,0.3,0.0001,64,64,0.3,0.12168754730373621
S004,SDA,1.0,0.3,0.0001,128,32,0.3,0.13404174894094467
S004,SDA,1.0,0.3,0.0001,64,128,0.3,0.10902251489460468
S004,SDA,1.0,0.3,0.0001,128,64,0.3,0.15020840801298618
S004,SDA,1.0,0.3,0.0001,256,32,0.3,0.13585379160940647
S004,SDA,1.0,0.3,0.0001,256,128,0.3,0.12443746626377106
S004,SDA,1.0,0.3,0.0001,128,128,0.3,0.1307253483682871
S004,SDA,1.0,0.3,0.0001,256,64,0.3,0.12578468583524227
S004,SDA,1.0,0.5,0.0001,64,32,0.3,0.12037984654307365
